ROM DataFile Version : 1.1
ORDOS_l_2__04¬ordos2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PMAST002__35¬pmast2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REBUS¬rebus¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SuperCalc_3__32¬supercl3¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TABLE¬sctable¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SURED_30__P15-128¬sured30¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SURED_30_src__LIST-4¬sured30s¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
AltDOS_1__AltDos¬altdos¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
AltDOS_2__C150696¬altdosa¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MONITOR_410__M410¬mon410¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS_240_Utils__01¬ordosut¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
